article_key,n_snippets_y1,n_snippets_y2,cosine_similarity,drift
Кримінальний процесуальний кодекс України|193,14,50,0.9627,0.0373
Кримінальний кодекс України|364,13,49,0.9658,0.0342
Кримінальний кодекс України|65,13,50,0.9555,0.0445
Кримінальний процесуальний кодекс України|93,13,41,0.9542,0.0458
Цивільний процесуальний кодекс України|100,50,13,0.9411,0.0589
Цивільний процесуальний кодекс України|207,50,13,0.9618,0.0382
Цивільний процесуальний кодекс України|84,13,50,0.9589,0.0411
Кримінальний кодекс України|67,12,50,0.9599,0.0401
Кримінальний процесуальний кодекс України|161,12,50,0.9522,0.0478
Цивільний процесуальний кодекс України|154,50,12,0.9548,0.0452
Цивільний процесуальний кодекс України|209,50,12,0.9581,0.0419
Кримінальний кодекс України|66,11,50,0.9552,0.0448
Кримінальний кодекс України|94,13,11,0.9413,0.0587
Кримінальний процесуальний кодекс України|244,50,11,0.9456,0.0544
Цивільний процесуальний кодекс України|134,11,14,0.9536,0.0464
Кримінальний кодекс України|365,14,10,0.9623,0.0377
Кримінальний процесуальний кодекс України|176,10,50,0.9585,0.0415
Кримінальний процесуальний кодекс України|234,10,50,0.954,0.046
Цивільний процесуальний кодекс України|136,10,32,0.9488,0.0512
Цивільний процесуальний кодекс України|16,14,10,0.9241,0.0759
Цивільний процесуальний кодекс України|168,10,50,0.9394,0.0606
Цивільний процесуальний кодекс України|2,10,50,0.9578,0.0422
Цивільний процесуальний кодекс України|208,50,10,0.9525,0.0475
Цивільний процесуальний кодекс України|210,50,10,0.9546,0.0454
Цивільний процесуальний кодекс України|37,10,11,0.9537,0.0463
Цивільний процесуальний кодекс України|88,50,10,0.9573,0.0427
