year,mrr_original,mrr_fixed,mrr_split
2008,0.420072068036764,0.42399099128983,0.479051870737371
2010,0.355732244154176,0.364252360421147,0.337784177036769
2012,0.464902977492425,0.426460431403015,0.509303620503802
2014,0.36796677675747,0.358076587801671,0.321901334115608
2016,0.352900701949195,0.359826891583591,0.351377893354919
2018,0.309422431454076,0.324485961180186,0.309875290065303
2020,0.291782070797159,0.300147824741705,0.29068273802103
2022,0.279850468633772,0.290579909383328,0.2794731422465
2024,0.272030547172853,0.285025992525483,0.270650634378507
