n_predictions,n_cases,n_articles,n_train_cases,mrr_aa,mrr_cn,hit10_aa,hit10_cn,eval_year,window,window_label,train_years
415024,50000,5000,453610,0.375048329701531,0.369876361658533,0.627850437565057,0.621267685724199,2014,1,1y,2013-2013
415024,50000,5000,1689334,0.344325365867458,0.339828255535045,0.614374108485292,0.607988935579629,2014,3,3y,2011-2013
415024,50000,5000,2773758,0.33458158248488,0.329594357531964,0.580139943714099,0.570839276764717,2014,5,5y,2009-2013
415024,50000,5000,3928455,0.327401890008074,0.322122880076782,0.564203515941247,0.55250057827981,2014,10,10y,2004-2013
415024,50000,5000,3928455,0.327401890008074,0.322122880076782,0.564203515941247,0.55250057827981,2014,0,all,2005-2013
369757,50000,5000,1170332,0.343442507262855,0.335810017105439,0.596096896069581,0.588811029946695,2016,1,1y,2015-2015
369757,50000,5000,2965946,0.341515597675557,0.3329993555973,0.587401996446315,0.580227013957816,2016,3,3y,2013-2015
369757,50000,5000,4209396,0.343480950481032,0.333810454334118,0.587594014447326,0.581657683289295,2016,5,5y,2011-2015
369757,50000,5000,6459692,0.333772643126322,0.324195276796674,0.577154725941632,0.569076447504713,2016,10,10y,2006-2015
369757,50000,5000,6459692,0.333772643126322,0.324195276796674,0.577154725941632,0.569076447504713,2016,0,all,2005-2015
415148,50000,5000,1722498,0.211553444012361,0.194172556483421,0.391836164452195,0.367796544846657,2018,1,1y,2017-2017
415148,50000,5000,7358147,0.173205353332164,0.16112283966839,0.322183895863644,0.300757802036864,2018,3,3y,2015-2017
415148,50000,5000,9123720,0.168837224645278,0.156252068496834,0.313933826009038,0.292669120410071,2018,5,5y,2013-2017
415148,50000,5000,11642554,0.166609024960616,0.15482306410812,0.31261863239134,0.290086908765067,2018,10,10y,2008-2017
415148,50000,5000,12542341,0.165326067024308,0.151530599131479,0.309116266969852,0.286218408856601,2018,0,all,2005-2017
412130,50000,5000,1461473,0.2923246444541,0.285219512421967,0.556625336665615,0.547315167544222,2020,1,1y,2019-2019
412130,50000,5000,4860068,0.290081012967133,0.283215801273356,0.554759420571179,0.546875985732657,2020,3,3y,2017-2019
412130,50000,5000,10250448,0.268841682424898,0.257973176078259,0.511920995802296,0.495377672093757,2020,5,5y,2015-2019
412130,50000,5000,13951536,0.249479224038685,0.236943812273684,0.479261398102541,0.461973163807537,2020,10,10y,2010-2019
412130,50000,5000,15084512,0.246511782566592,0.233746625157898,0.47412709581928,0.456392400456167,2020,0,all,2005-2019
417481,50000,3279,1385574,0.278862650814632,0.271861148238269,0.548999834723017,0.539634139038663,2022,1,1y,2021-2021
417481,50000,3279,4366268,0.279838557124427,0.273862111791592,0.546261985575391,0.537471166352481,2022,3,3y,2019-2021
417481,50000,3279,7798624,0.279293486444342,0.273812519236618,0.541866575963936,0.533808724229366,2022,5,5y,2017-2021
417481,50000,3279,15847266,0.264660226298345,0.256069156819129,0.514047345867237,0.50097609232516,2022,10,10y,2012-2021
417481,50000,3279,18189991,0.254999068102299,0.24433915246353,0.496748355014959,0.48165784790206,2022,0,all,2005-2021
453653,50000,3671,2075338,0.273841141484976,0.268685402304928,0.542273499789487,0.533515704734676,2024,1,1y,2023-2023
453653,50000,3671,4779154,0.275987583179097,0.271304933278801,0.544519709998611,0.535686967792564,2024,3,3y,2021-2023
453653,50000,3671,7760434,0.278290934645766,0.27396572434809,0.546073761222785,0.537862639506407,2024,5,5y,2019-2023
453653,50000,3671,17997826,0.276686894689505,0.271058801123626,0.53822855795068,0.528461180682151,2024,10,10y,2014-2023
453653,50000,3671,21590725,0.268789785193992,0.261663614567492,0.526342821495725,0.514377729233577,2024,0,all,2005-2023
